epoch,accuracy,loss,val_accuracy,val_loss
0,0.37226682901382446,1.327811598777771,0.43515849113464355,1.2749011516571045
1,0.6490451097488403,0.9843928813934326,0.6743515729904175,0.9246236681938171
2,0.7982286214828491,0.5851951241493225,0.6945244669914246,0.7522069215774536
3,0.8469415903091431,0.41975101828575134,0.6974063515663147,0.7782898545265198
4,0.8834763169288635,0.3263342082500458,0.6887608170509338,0.8281175494194031
5,0.9072792530059814,0.2737291753292084,0.6887608170509338,0.8734986782073975
6,0.9266537427902222,0.22048082947731018,0.6887608170509338,0.943209707736969
7,0.9429836869239807,0.1859515905380249,0.680115282535553,0.995562732219696
8,0.9537780284881592,0.15626917779445648,0.680115282535553,1.0703283548355103
9,0.9554386734962463,0.14152933657169342,0.6772334575653076,1.166956901550293
10,0.9659562706947327,0.11966360360383987,0.6743515729904175,1.1940208673477173
11,0.9687240719795227,0.1140517145395279,0.6599423885345459,1.2496531009674072
12,0.9698311686515808,0.10261040925979614,0.6743515729904175,1.2783761024475098
13,0.971491813659668,0.09369950741529465,0.6685879230499268,1.320267677307129
14,0.973429262638092,0.08343680948019028,0.6628242135047913,1.3943365812301636
15,0.972875714302063,0.08811064064502716,0.6628242135047913,1.4531387090682983
16,0.975089967250824,0.07930684834718704,0.6772334575653076,1.4447754621505737
17,0.973429262638092,0.08032086491584778,0.6657060384750366,1.5215142965316772
18,0.9778577089309692,0.07249993085861206,0.6570605039596558,1.489996075630188
19,0.9761970639228821,0.0737689733505249,0.6541786789894104,1.5439305305480957
20,0.9759202599525452,0.06977551430463791,0.651296854019165,1.5474117994308472
21,0.9759202599525452,0.06563490629196167,0.651296854019165,1.6168512105941772
22,0.9759202599525452,0.062344130128622055,0.6541786789894104,1.668044924736023
23,0.9789648652076721,0.06191464141011238,0.6599423885345459,1.6365445852279663
24,0.9775809645652771,0.05935300514101982,0.651296854019165,1.6905269622802734
